T,RPM
0,0
151, 394.880
184, 1832.509
275, 659.442
327, 1165.660
374, 1262.122
420, 1299.517
465, 1330.731
510, 1356.821
550, 1478.780
553, 20442.930
596, 1398.308
638, 1414.594
680, 1428.742
719, 1547.149
722, 21074.816
763, 1451.870
805, 1461.312
845, 1468.860
886, 1476.124
924, 1592.399
926, 21497.672
967, 1488.354
1007, 1492.723
1047, 1497.380
1087, 1501.201
1127, 1504.438
1167, 1507.045
1206, 1508.902
1246, 1511.107
1286, 1512.325
1325, 1513.928
1365, 1514.884
1405, 1516.185
1444, 1517.144
1484, 1518.257
1520, 1632.520
1523, 21786.492
1563, 1519.180
1602, 1520.257
1642, 1520.643
1681, 1521.453
1721, 1521.298
1760, 1521.568
1799, 1522.109
1839, 1522.843
1875, 1637.063
1878, 21834.061
1918, 1517.067
1957, 1513.355
1997, 1515.419
2031, 1759.428
2033, 26098.303
2059, 2363.414
2078, 3157.729
2094, 3707.365
2109, 4085.802
2122, 4337.140
2136, 4531.722
2149, 4680.552
2161, 4799.616
2173, 4899.959
2185, 4990.435
2197, 5064.146
2209, 5119.891
2220, 5173.752
2232, 5220.569
2243, 5262.696
2255, 5297.078
2266, 5323.869
2277, 5350.455
2288, 5378.754
2299, 5398.596
2311, 5416.629
2322, 5427.408
2333, 5449.591
2344, 5462.988
2355, 5472.455
2365, 5483.458
2376, 5494.505
2387, 5505.092
2398, 5504.587
2409, 5514.706
2420, 5517.241
2431, 5528.935
2442, 5530.974
2452, 5535.566
2463, 5537.609
2474, 5543.237
2485, 5548.876
2496, 5547.337
2507, 5551.957
2517, 5554.013
2528, 5558.129
2539, 5557.099
2550, 5560.705
2561, 5558.644
2571, 5561.220
2582, 5562.251
2593, 5562.767
2604, 5562.767
2614, 5565.347
2625, 5569.996
2636, 5564.830
2647, 5567.412
2658, 5566.379
2668, 5571.548
2679, 5568.445
2690, 5566.379
2701, 5565.347
2711, 5575.172
2722, 5572.065
2733, 5567.929
2744, 5567.929
2755, 5570.513
2765, 5573.101
2776, 5566.379
2787, 5571.548
2798, 5565.863
2808, 5573.101
2819, 5567.412
2830, 5571.031
2841, 5568.962
2851, 5573.618
2862, 5569.996
2873, 5570.513
2884, 5567.412
2895, 5572.583
2905, 5570.513
2916, 5567.929
2927, 5566.379
2938, 5569.479
2948, 5571.031
2959, 5567.412
2970, 5567.929
2981, 5568.445
2992, 5569.996
3002, 5568.962
3013, 5567.412
3024, 5564.830
3035, 5571.031
3045, 5569.479
3056, 5564.830
3067, 5564.830
3078, 5564.830
3089, 5567.929
3099, 5562.767
3110, 5563.798
3121, 5565.347
3132, 5568.445
3142, 5571.031
3153, 5566.896
3164, 5568.445
3175, 5572.583
3186, 5570.513
3196, 5567.412
3207, 5569.996
3218, 5569.996
3229, 5574.136
3239, 5566.896
3250, 5567.929
3261, 5563.282
3272, 5569.996
3283, 5564.314
3293, 5564.830
3304, 5566.896
3315, 5565.347
3326, 5566.896
3336, 5564.314
3347, 5564.830
3358, 5567.929
3369, 5567.412
3380, 5564.830
3390, 5562.251
3401, 5567.929
3412, 5569.479
3423, 5563.282
3433, 5564.314
3444, 5563.282
3455, 5566.896
3466, 5568.445
3477, 5564.314
3487, 5564.830
3498, 5567.412
3509, 5566.896
3520, 5561.220
3530, 5562.767
3541, 5562.251
3552, 5567.412
3563, 5564.830
3574, 5566.896
3584, 5567.929
3595, 5572.065
3606, 5568.445
3617, 5565.347
3627, 5562.767
3638, 5567.412
3649, 5565.863
3660, 5565.863
3671, 5561.735
3681, 5565.863
3692, 5563.282
3703, 5567.412
3714, 5565.863
3725, 5565.347
3735, 5569.479
3746, 5565.347
3757, 5564.314
3768, 5562.767
3778, 5569.479
3789, 5569.479
3800, 5564.314
3811, 5563.282
3822, 5569.996
3832, 5566.896
3843, 5564.314
3854, 5567.929
3865, 5565.863
3875, 5570.513
3886, 5567.929
3897, 5567.929
3908, 5566.379
3919, 5568.445
3929, 5572.065
3940, 5566.379
3951, 5567.412
3962, 5565.863
3972, 5572.583
3983, 5567.929
3994, 5573.101
