T,RPM
0,0
251, 238.644
309, 1036.502
357, 1246.184
404, 1285.237
446, 1411.798
449, 19854.400
491, 1442.481
494, 20100.502
535, 1469.148
538, 20401.225
581, 1390.402
623, 1407.427
665, 1422.408
704, 1540.555
707, 21052.631
749, 1445.922
787, 1562.581
790, 21223.912
831, 1463.879
872, 1472.104
910, 1587.932
912, 21459.227
950, 1593.795
953, 21466.904
993, 1488.427
1033, 1493.392
1071, 1609.183
1073, 21660.650
1111, 1613.120
1113, 21668.473
1153, 1503.759
1193, 1506.553
1233, 1508.865
1272, 1510.574
1312, 1511.525
1352, 1512.440
1391, 1514.272
1431, 1515.113
1471, 1515.687
1510, 1515.802
1550, 1517.527
1589, 1517.873
1626, 1631.543
1629, 21834.061
1668, 1518.180
1705, 1632.165
1708, 21873.861
1747, 1519.718
1787, 1520.257
1826, 1520.411
1866, 1521.337
1902, 1636.036
1905, 21889.820
1945, 1522.379
1984, 1522.881
2023, 1550.508
2052, 2016.807
2073, 2888.365
2090, 3533.569
2105, 3963.535
2119, 4256.225
2133, 4464.950
2146, 4631.774
2158, 4764.173
2171, 4874.878
2183, 4965.654
2195, 5046.682
2206, 5104.645
2218, 5160.402
2230, 5214.217
2241, 5256.702
2252, 5289.140
2264, 5320.564
2275, 5349.500
2286, 5380.201
2297, 5402.485
2308, 5419.564
2319, 5432.814
2330, 5454.545
2341, 5468.964
2352, 5479.953
2363, 5486.968
2374, 5502.568
2385, 5510.654
2396, 5516.734
2407, 5523.336
2417, 5526.897
2428, 5535.566
2439, 5540.166
2450, 5540.678
2461, 5545.287
2472, 5551.443
2482, 5555.556
2493, 5555.556
2504, 5556.584
2515, 5562.767
2525, 5567.929
2536, 5565.347
2547, 5566.896
2558, 5564.830
2569, 5569.479
2579, 5569.479
2590, 5568.445
2601, 5570.513
2612, 5571.031
2622, 5576.208
2633, 5568.962
2644, 5574.136
2655, 5570.513
2666, 5576.208
2676, 5571.548
2687, 5571.031
2698, 5572.583
2709, 5574.654
2719, 5573.618
2730, 5567.412
2741, 5573.618
2752, 5569.479
2762, 5573.101
2773, 5567.412
2784, 5572.065
2795, 5566.379
2806, 5574.654
2816, 5563.798
2827, 5569.996
2838, 5567.412
2849, 5573.101
2859, 5565.347
2870, 5573.618
2881, 5565.347
2892, 5573.101
2902, 5567.412
2913, 5568.962
2924, 5567.929
2935, 5568.445
2946, 5572.065
2956, 5567.929
2967, 5564.830
2978, 5568.962
2989, 5568.962
2999, 5567.929
3010, 5562.251
3021, 5565.347
3032, 5568.445
3043, 5565.863
3053, 5566.896
3064, 5563.798
3075, 5569.479
3086, 5567.929
3096, 5567.929
3107, 5565.347
3118, 5567.412
3129, 5564.830
3140, 5571.548
3150, 5564.830
3161, 5565.347
3172, 5567.929
3183, 5569.479
3193, 5567.929
3204, 5566.379
3215, 5569.479
3226, 5573.101
3237, 5570.513
3247, 5567.929
3258, 5568.962
3269, 5575.690
3280, 5569.479
3290, 5573.101
3301, 5566.379
3312, 5574.654
3323, 5571.031
3333, 5570.513
3344, 5566.896
3355, 5573.618
3366, 5567.929
3377, 5570.513
3387, 5568.962
3398, 5567.929
3409, 5571.031
3420, 5573.101
3430, 5566.379
3441, 5572.065
3452, 5570.513
3463, 5574.654
3474, 5573.101
3484, 5567.929
3495, 5576.727
3506, 5571.548
3517, 5571.031
3527, 5567.412
3538, 5573.101
3549, 5569.479
3560, 5569.479
3570, 5565.347
3581, 5567.412
3592, 5567.929
3603, 5567.929
3614, 5563.282
3624, 5569.479
3635, 5566.896
3646, 5571.548
3657, 5565.347
3667, 5567.929
3678, 5567.929
3689, 5566.896
3700, 5569.479
3711, 5568.445
3721, 5566.379
3732, 5566.896
3743, 5566.896
3754, 5564.830
3764, 5565.863
3775, 5569.479
3786, 5569.479
3797, 5564.830
3808, 5567.412
3818, 5563.282
3829, 5567.412
3840, 5564.314
3851, 5566.379
3861, 5566.379
3872, 5566.896
3883, 5566.896
3894, 5563.282
3905, 5565.863
3915, 5564.830
3926, 5569.479
3937, 5560.705
3948, 5566.896
3958, 5563.282
3969, 5565.863
3980, 5561.220
3991, 5561.735
